State Name,District Name,Total Literacy Rate (%),Total Literacy Rate Urban (%),Total Literacy Rate Rural (%),Total Literacy Rate Male (%),Total Literacy Rate Male Urban (%),Total Literacy Rate Male Rural (%),Total Literacy Rate Female (%),Total Literacy Rate Urban Female (%),Total Literacy Rate Rural Female (%),Education (%),Medical (%),Post Office (%),Telephone (%),Transport Communications (%),Banks (%),Agricultural  Credit Societies (%),Approach by Pucca Road (%),Total Workers (%),Total Male Workers (%),Total Female Workers (%),Total Slum Population,Slum Population (%),Rural Population (%),Urban Population (%),Total good condition households (%),Total livable condition households (%),Total dilapidated condition households (%),Rural good condition households (%),Rural livable condition households (%),Rural dilapidated condition households (%),Urban good condition households (%),Urban livable condition households (%),Urban dilapidated condition households (%),Total Material of house roof is concrete (%),Rural Material of house roof is concrete (%),Urban Material of house roof is concrete (%),Total tapwater from treated source (%),Rural tapwater from treated source (%),Urban tapwater from treated source (%),Total Location of drinking water resource (%),Rural Location of drinking water resource (%),Urban Location of drinking water resource (%),Total Electricity as Lightning Source (%),Rural Electricity as Lightning Source (%),Urban Electricity as Lightning Source (%),Total Latrine facility within premises (%),Rural Latrine facility within premises (%),Urban Latrine facility within premises (%),Total Bathroom with roof within premises (%),Rural Bathroom with roof within premises (%),Urban Bathroom with roof within premises (%),Total Bathroom without roof within premises (%),Rural Bathroom without roof within premises (%),Urban Bathroom without roof within premises (%),Total waste water outlet connect to closed drainage (%),Rural waste water outlet connect to closed drainage (%),Urban waste water outlet connect to closed drainage (%),Total waste water outlet connect to open drainage (%),Rural waste water outlet connect to open drainage (%),Urban waste water outlet connect to open drainage (%),Total Fuel Used LPG+Biogas (%),Rural Fuel Used LPG+Biogas (%),Urban Fuel Used LPG+Biogas (%),Total cooking inside house (%),Rural cooking inside house (%),Urban cooking inside house (%),Total cooking outside house (%),Rural cooking outside house (%),Urban cooking outside house (%),Total no cooking (%),Rural no cooking (%),Urban no cooking (%),Total households availing banking services (%),Rural households availing banking services (%),Urban households availing banking services (%),Total households with no assets (%),Rural households with no assets (%),Urban households with no assets (%)
Andaman and Nicobar Islands,Nicobars,L,S,L,L,S,L,L,S,L,M,M,S,M,M,S,S,M,M,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,S,S,S,L,L,L,M,M,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,M,M,M,L,L,M,S,S,M,S,S,S,L,L,L,S,S,S
Andaman and Nicobar Islands,North  & Middle Andaman,L,L,L,L,L,L,L,L,L,M,M,S,M,M,S,S,M,M,M,S,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,M,M,L,M,M,M,L,L,L,M,M,M,M,M,M,S,S,M,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Andaman and Nicobar Islands,South Andaman,L,L,L,L,L,L,L,L,L,M,M,S,L,L,S,S,L,M,M,S,L,S,M,M,L,S,S,M,M,S,L,S,S,S,S,S,L,M,L,L,M,L,L,L,L,L,M,L,L,M,L,S,S,S,S,S,S,M,M,L,M,M,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Andhra Pradesh,Adilabad,M,L,M,L,L,M,M,L,M,L,M,S,L,M,S,S,L,M,M,M,L,M,L,S,M,S,S,M,M,S,L,S,S,S,S,M,S,S,M,M,S,M,L,L,L,S,S,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Anantapur,M,L,M,L,L,L,M,L,M,L,L,M,L,L,S,S,L,M,M,M,L,M,L,S,L,S,S,L,S,S,L,S,S,S,S,M,M,M,L,S,S,M,L,L,L,M,S,L,M,M,L,S,S,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Chittoor,L,L,L,L,L,L,M,L,M,L,M,M,L,L,S,S,L,M,M,M,L,S,L,S,L,S,S,L,S,S,L,S,S,M,M,L,M,M,M,M,S,M,L,L,L,M,S,L,M,M,L,S,S,S,S,S,M,M,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,East Godavari,L,L,L,L,L,L,L,L,M,L,M,M,L,M,S,S,M,M,M,S,L,M,L,S,L,S,S,M,S,S,L,S,S,M,M,L,M,M,L,M,M,M,L,L,L,M,M,L,M,M,L,S,S,S,S,S,S,M,S,M,M,S,L,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Guntur,L,L,M,L,L,L,M,L,M,L,L,L,L,L,S,S,L,M,M,M,L,M,M,M,L,S,S,M,S,S,L,S,S,M,M,M,M,M,L,M,S,M,L,L,L,M,M,L,M,M,L,S,S,S,S,S,S,M,M,M,M,M,L,L,M,L,S,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Hyderabad,L,L,S,L,L,S,L,L,S,S,S,S,S,S,S,S,S,M,M,S,L,S,S,L,L,S,S,L,S,S,L,S,S,L,L,M,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,L,L,L,S,S,S,L,L,L,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Karimnagar,M,L,M,L,L,L,M,L,M,L,L,L,L,L,S,S,L,M,M,M,L,M,L,S,M,S,S,M,S,S,L,S,S,S,S,M,M,M,L,M,M,L,L,L,L,M,M,L,M,S,L,S,S,S,S,S,M,M,M,M,M,S,L,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
